name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,month,successful,condition_1,genre_encoded,company_encoded,director_encoded,writer_encoded,star_encoded,country_encoded,month_converted,season,runtime_range,rating_converted,profit,director_score,company_score,genre_score,star_score,writer_score
Altered States,R,Horror,1980,"December 25, 1980 (United States)",6.9,33000.0,Ken Russell,Paddy Chayefsky,William Hurt,United States,0.0,19853892.0,Warner Bros.,102.0,December,1,True,10,2318,1583,3233,2765,55,12,Winter,Medium,R,19853892.0,1,5,5,5,1
Little Darlings,R,Comedy,1980,"March 21, 1980 (United States)",6.5,5100.0,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,0.0,34326249.0,Stephen Friedman/Kings Road Productions,96.0,March,1,True,4,2124,2432,2483,2563,55,3,Winter,Medium,R,34326249.0,0,1,5,1,1
Raise the Titanic,PG,Action,1980,"August 1, 1980 (United States)",5.0,4100.0,Jerry Jameson,Adam Kennedy,Jason Robards,United Kingdom,36000000.0,0.0,ITC Films,115.0,August,0,False,0,1305,1282,33,1140,54,8,Winter,Medium,PG,-36000000.0,0,0,5,0,0
Brubaker,R,Crime,1980,"June 20, 1980 (United States)",7.2,17000.0,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,9000000.0,37121708.0,Twentieth Century Fox,131.0,June,1,True,5,2251,2672,4386,2250,55,6,Winter,Long,R,28121708.0,1,5,5,5,0
American Gigolo,R,Crime,1980,"February 1, 1980 (United States)",6.2,22000.0,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000.0,22743674.0,Paramount Pictures,117.0,February,1,True,5,1810,2150,3325,2209,55,2,Winter,Medium,R,17943674.0,0,5,5,5,1
My Bodyguard,PG,Comedy,1980,"September 26, 1980 (United States)",7.1,8900.0,Tony Bill,Alan Ormsby,Chris Makepeace,United States,0.0,22482952.0,Twentieth Century Fox,102.0,September,1,True,4,2251,2810,83,430,55,9,Winter,Medium,PG,22482952.0,0,5,5,1,1
Prom Night,R,Horror,1980,"July 18, 1980 (United States)",5.4,16000.0,Paul Lynch,William Gray,Leslie Nielsen,Canada,0.0,14796236.0,Guardian Trust Company,92.0,July,1,True,10,1215,2142,4455,1600,6,7,Winter,Medium,R,14796236.0,1,1,5,5,1
Smokey and the Bandit II,PG,Action,1980,"August 15, 1980 (United States)",5.3,15000.0,Hal Needham,Hal Needham,Burt Reynolds,United States,0.0,66132626.0,Universal Pictures,100.0,August,1,True,0,2279,1041,1587,342,55,8,Winter,Medium,PG,66132626.0,5,5,5,5,5
Cattle Annie and Little Britches,PG,Drama,1980,"April 24, 1981 (United States)",6.1,604.0,Lamont Johnson,David Eyre,Scott Glenn,United States,5100000.0,534816.0,Cattle Annie Productions,97.0,April,0,False,6,602,1644,958,2370,55,4,Winter,Medium,PG,-4565184.0,0,0,5,5,0
Seems Like Old Times,PG,Comedy,1980,"December 19, 1980 (United States)",6.7,9100.0,Jay Sandrich,Neil Simon,Goldie Hawn,United States,0.0,43995918.0,Rastar Films,102.0,December,1,True,4,1932,1225,3135,914,55,12,Winter,Medium,PG,43995918.0,1,5,5,5,5
Private Benjamin,R,Comedy,1980,"October 10, 1980 (United States)",6.2,24000.0,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,10000000.0,69847348.0,Warner Bros.,109.0,October,1,True,4,2318,1091,3106,914,55,10,Winter,Medium,R,59847348.0,5,5,5,5,5
The Hollywood Knights,R,Comedy,1980,"May 30, 1980 (United States)",6.3,4300.0,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000.0,10000000.0,PolyGram Filmed Entertainment,91.0,May,1,True,4,1867,855,1358,2663,55,5,Winter,Medium,R,6000000.0,0,5,5,1,0
Motel Hell,R,Comedy,1980,"October 24, 1980 (United States)",6.0,11000.0,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,3000000.0,6342668.0,Camp Hill,101.0,October,1,True,4,552,1598,3641,2281,55,10,Winter,Medium,R,3342668.0,1,1,5,1,1
The Jazz Singer,PG,Drama,1980,"December 19, 1980 (United States)",5.9,4000.0,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,0.0,27118000.0,EMI Films,115.0,December,1,True,6,898,2295,3825,1576,55,12,Winter,Medium,PG,27118000.0,1,1,5,1,1
Coal Miner's Daughter,PG,Biography,1980,"March 7, 1980 (United States)",7.5,17000.0,Michael Apted,Thomas Rickman,Sissy Spacek,United States,0.0,67182787.0,Universal Pictures,124.0,March,1,True,3,2279,1883,4200,2460,55,3,Winter,Long,PG,67182787.0,5,5,5,5,5
The Watcher in the Woods,PG,Family,1980,"October 9, 1981 (United States)",6.3,5700.0,John Hough,Brian Clemens,Bette Davis,United States,0.0,5000000.0,Walt Disney Productions,84.0,October,1,True,7,2316,1403,518,243,55,10,Winter,Short,PG,5000000.0,1,5,5,1,1
Breaker Morant,PG,Drama,1980,"July 3, 1980 (Australia)",7.9,13000.0,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,0.0,0.0,The South Australian Film Corporation,107.0,July,1,True,6,2200,335,2252,721,2,7,Winter,Medium,PG,0.0,5,0,5,0,0
The Stunt Man,R,Action,1980,"June 27, 1980 (United States)",7.1,9000.0,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,3500000.0,7063886.0,Melvin Simon Productions,131.0,June,1,True,0,1626,2313,2543,2125,55,6,Winter,Long,R,3563886.0,0,1,5,1,1
Where the Buffalo Roam,R,Biography,1980,"April 25, 1980 (United States)",6.6,11000.0,Art Linson,Hunter S. Thompson,Peter Boyle,United States,0.0,6659377.0,Universal Pictures,99.0,April,1,True,3,2279,186,1682,2113,55,4,Winter,Medium,R,6659377.0,1,5,5,0,0
The Awakening,R,Horror,1980,"October 31, 1980 (United States)",4.8,2000.0,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,0.0,8415112.0,EMI Films,101.0,October,1,True,10,898,1977,151,406,54,10,Winter,Medium,R,8415112.0,5,1,5,1,1
Cheech and Chong's Next Movie,R,Comedy,1980,"July 18, 1980 (United States)",6.1,12000.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,0.0,41675194.0,Universal Pictures,99.0,July,1,True,4,2279,2803,4297,408,55,7,Winter,Medium,R,41675194.0,5,5,5,5,5
The Island,R,Action,1980,"June 13, 1980 (United States)",5.3,3900.0,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000.0,15716828.0,Universal Pictures,109.0,June,0,False,0,2279,1933,3356,1849,55,6,Winter,Medium,R,-6283172.0,5,5,5,5,5
The Boogey Man,R,Horror,1980,"November 7, 1980 (United States)",4.6,3900.0,Ulli Lommel,Ulli Lommel,Suzanna Love,United States,300000.0,0.0,The Jerry Gross Organization,82.0,November,0,False,10,2182,2835,4343,2533,55,11,Winter,Short,R,-300000.0,0,0,5,0,0
The Nude Bomb,PG,Action,1980,"May 9, 1980 (United States)",5.1,3100.0,Clive Donner,Mel Brooks,Don Adams,United States,15000000.0,14662035.0,Universal Pictures,94.0,May,0,False,0,2279,509,2892,670,55,5,Winter,Medium,PG,-337965.0,0,5,5,0,1
Lion of the Desert,PG,Biography,1980,"May 16, 1981 (Japan)",8.3,15000.0,Moustapha Akkad,David Butler,Anthony Quinn,Libya,35000000.0,0.0,Falcon International Productions,173.0,May,0,False,3,1010,1994,942,167,30,5,Winter,Long,PG,-35000000.0,0,0,5,0,0
Stardust Memories,PG,Comedy,1980,"September 26, 1980 (United States)",7.3,22000.0,Woody Allen,Woody Allen,Woody Allen,United States,10000000.0,10389003.0,Jack Rollins & Charles H. Joffe Productions,89.0,September,0,False,4,1373,2912,4495,2777,55,9,Winter,Short,PG,389003.0,5,0,5,5,5
Melvin and Howard,R,Comedy,1980,"September 19, 1980 (United States)",6.8,4500.0,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,7000000.0,4309490.0,Universal Pictures,95.0,September,0,False,4,2279,1470,454,2084,55,9,Winter,Medium,R,-2690510.0,5,5,5,0,0
Can't Stop the Music,PG,Biography,1980,"June 20, 1980 (United States)",4.2,3700.0,Nancy Walker,Bronte Woodard,Ray Simpson,United States,20000000.0,0.0,EMI Films,124.0,June,0,False,3,898,2004,550,2179,55,6,Winter,Long,PG,-20000000.0,0,1,5,0,0
Bronco Billy,PG,Action,1980,"June 11, 1980 (United States)",6.1,11000.0,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,6500000.0,24265659.0,Warner Bros.,116.0,June,1,True,0,2318,507,1080,483,55,6,Winter,Medium,PG,17765659.0,5,5,5,5,1
City of Women,R,Comedy,1980,"April 8, 1981 (United States)",7.0,6700.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,0.0,12516.0,Opera Film Produzione,139.0,April,1,True,4,1771,843,1347,1719,25,4,Winter,Long,R,12516.0,1,1,5,1,1
The Private Eyes,PG,Comedy,1980,"November 21, 1980 (United States)",6.7,2900.0,Lang Elliott,Tim Conway,Tim Conway,United States,0.0,0.0,Tri Star Productions,91.0,November,1,True,4,2239,1649,4205,2610,55,11,Winter,Medium,PG,0.0,0,0,5,0,0
When Time Ran Out...,PG,Action,1980,"March 28, 1980 (United States)",4.6,2600.0,James Goldstone,Gordon Thomas,Paul Newman,United States,20000000.0,3763988.0,International Cinema,121.0,March,0,False,0,1347,1167,1519,2089,55,3,Winter,Long,PG,-16236012.0,0,0,5,5,0
Oh Heavenly Dog,PG,Comedy,1980,"July 11, 1980 (United States)",5.4,2400.0,Joe Camp,Rod Browning,Chevy Chase,United States,6000000.0,6216067.0,Mulberry Square Productions,103.0,July,0,False,4,1680,1333,3701,410,55,7,Winter,Medium,PG,216067.0,1,1,5,5,1
The Octagon,R,Action,1980,"August 15, 1980 (United States)",5.1,5200.0,Eric Karson,Leigh Chapman,Chuck Norris,United States,4000000.0,18971000.0,American Cinema Productions,103.0,August,1,True,0,170,812,2568,471,55,8,Winter,Medium,R,14971000.0,1,1,5,5,1
Hangar 18,PG,Sci-Fi,1980,"March 13, 1981 (Ireland)",5.3,2400.0,James L. Conway,Ken Pettus,Darren McGavin,United States,11000000.0,0.0,Sunn Classic Pictures,97.0,March,0,False,15,2148,1175,2430,570,55,3,Winter,Medium,PG,-11000000.0,0,1,5,0,0
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5.0,5300.0,Vincent McEveety,Don Tait,Charles Martin Smith,United States,0.0,18000000.0,Walt Disney Productions,100.0,June,1,True,1,2316,2850,1141,392,55,6,Winter,Medium,G,18000000.0,1,5,5,1,1
The Competition,PG,Drama,1980,"December 3, 1980 (United States)",6.7,1900.0,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,0.0,14287755.0,Rastar Films,123.0,December,1,True,6,1932,1354,2066,2206,55,12,Winter,Long,PG,14287755.0,1,5,5,5,1
It's My Turn,R,Comedy,1980,"February 5, 1981 (Argentina)",5.5,875.0,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,0.0,0.0,Rastar Films,91.0,February,1,True,4,1932,504,1242,1228,55,2,Winter,Medium,R,0.0,0,5,5,0,5
Honeysuckle Rose,PG,Drama,1980,"July 18, 1980 (United States)",6.3,1400.0,Jerry Schatzberg,Gösta Stevens,Willie Nelson,United States,0.0,17815212.0,Major Studio Partners,119.0,July,1,True,6,1580,1287,1576,2772,55,7,Winter,Medium,PG,17815212.0,1,5,5,1,1
Resurrection,PG,Drama,1980,"September 26, 1980 (United States)",7.3,2800.0,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,0.0,3910019.0,Universal Pictures,103.0,September,1,True,6,2279,576,2601,746,55,9,Winter,Medium,PG,3910019.0,5,5,5,1,5
Fatso,PG,Comedy,1980,"February 1, 1980 (United States)",6.3,2000.0,Anne Bancroft,Anne Bancroft,Dom DeLuise,United States,0.0,7653061.0,Brooksfilms,93.0,February,1,True,4,494,150,261,663,55,2,Winter,Medium,PG,7653061.0,1,5,5,5,1
Moscow Does Not Believe in Tears,PG,Comedy,1980,"February 11, 1980 (Soviet Union)",8.1,12000.0,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Soviet Union,900000.0,0.0,Mosfilm,150.0,February,0,False,4,1672,2855,4348,2707,46,2,Winter,Long,PG,-900000.0,0,0,5,0,0
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,"August 8, 1980 (United States)",5.1,2000.0,Piers Haggard,Rudy Dochtermann,Peter Sellers,United States,0.0,10697276.0,Braun Entertainment Group,100.0,August,1,True,4,463,2238,3777,2128,55,8,Winter,Medium,PG,10697276.0,1,1,5,1,1
Serial,R,Comedy,1980,"March 28, 1980 (United States)",6.6,915.0,Bill Persky,Cyra McFadden,Martin Mull,United States,0.0,9870727.0,Paramount Pictures,86.0,March,1,True,4,1810,262,822,1766,55,3,Winter,Short,R,9870727.0,1,5,5,1,1
Hero at Large,PG,Comedy,1980,"February 8, 1980 (United States)",6.0,1500.0,Martin Davidson,AJ Carothers,John Ritter,United States,0.0,15934737.0,Kings Road Entertainment,98.0,February,1,True,4,1424,1823,8,1312,55,2,Winter,Medium,PG,15934737.0,1,5,5,1,1
Wholly Moses!,PG,Comedy,1980,"June 13, 1980 (United States)",4.7,1800.0,Gary Weis,Guy Thomas,Dudley Moore,United States,0.0,14155617.0,Columbia Pictures,103.0,June,1,True,4,730,934,1570,694,55,6,Winter,Medium,PG,14155617.0,1,5,5,5,1
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980 (United States)",7.3,2900.0,Bill Melendez,Charles M. Schulz,Scott Beach,United States,0.0,2013193.0,Lee Mendelson Film Productions,75.0,May,1,True,2,1478,259,658,2368,55,5,Winter,Short,G,2013193.0,1,1,5,1,1
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,"September 26, 1980 (United States)",5.5,965.0,Marty Feldman,Marty Feldman,Marty Feldman,United States,0.0,5215015.0,Universal Pictures,97.0,September,1,True,4,2279,1832,2824,1771,55,9,Winter,Medium,PG,5215015.0,1,5,5,1,1
Roadie,PG,Comedy,1980,"June 13, 1980 (United States)",5.2,1100.0,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,0.0,4226370.0,Alive Enterprises,106.0,June,1,True,4,127,52,420,1814,55,6,Winter,Medium,PG,4226370.0,0,1,5,1,1
Just Tell Me What You Want,R,Comedy,1980,"January 18, 1980 (United States)",5.5,585.0,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,0.0,2086905.0,Warner Bros.,112.0,January,1,True,4,2318,2559,1882,75,55,1,Winter,Medium,R,2086905.0,5,5,5,1,1
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980 (United States)",5.8,1300.0,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,6000000.0,11000000.0,Walt Disney Productions,97.0,June,0,False,1,2316,415,1312,749,55,6,Winter,Medium,G,5000000.0,1,5,5,1,1
Little Miss Marker,PG,Comedy,1980,"March 21, 1980 (United States)",6.3,1400.0,Walter Bernstein,Damon Runyon,Walter Matthau,United States,0.0,6321392.0,Universal Pictures,103.0,March,1,True,4,2279,2862,836,2736,55,3,Winter,Medium,PG,6321392.0,1,5,5,5,1
Willie & Phil,R,Comedy,1980,"August 15, 1980 (United States)",5.9,415.0,Paul Mazursky,Jean Gruault,Michael Ontkean,United States,5500000.0,4400000.0,Twentieth Century Fox,115.0,August,0,False,4,2251,2143,1888,1874,55,8,Winter,Medium,R,-1100000.0,1,5,5,1,0
Babylon,Unknown,Drama,1980,November 1980 (United Kingdom),7.4,1300.0,Franco Rosso,Franco Rosso,David N. Haynes,United Kingdom,0.0,109749.0,Diversity Music,95.0,November,1,True,6,866,869,1368,601,54,11,Winter,Medium,Unkown,109749.0,1,1,5,1,1
Windwalker,PG,Adventure,1980,"November 18, 1983 (Sweden)",6.9,1000.0,Kieth Merrill,Ray Goldrup,Trevor Howard,United States,3000000.0,0.0,Santa Fe International,108.0,November,0,False,1,2020,1618,3489,2679,55,11,Winter,Medium,PG,-3000000.0,0,0,5,0,0
Phobia,R,Drama,1980,"September 9, 1980 (United States)",4.0,546.0,John Huston,Gary Sherman,Paul Michael Glaser,Canada,5100000.0,59167.0,Borough Park Productions,94.0,September,0,False,6,455,1406,1432,2088,6,9,Winter,Medium,R,-5040833.0,1,0,5,0,1
Windows,R,Drama,1980,"January 18, 1980 (United States)",4.8,643.0,Gordon Willis,Barry Siegel,Talia Shire,United States,0.0,2128395.0,Mike Lobell Productions,96.0,January,1,True,6,1641,995,370,2551,55,1,Winter,Medium,R,2128395.0,1,1,5,1,1
Loving Couples,PG,Comedy,1980,"October 24, 1980 (United States)",5.2,351.0,Jack Smight,Martin Donovan,Shirley MacLaine,United States,0.0,2806659.0,Time Life Films,97.0,October,1,True,4,2216,1134,2817,2444,55,10,Winter,Medium,PG,2806659.0,1,1,5,5,5
The King and the Mockingbird,Not Rated,Animation,1980,"March 19, 1980 (France)",7.9,4800.0,Paul Grimault,Hans Christian Andersen,Jean Martin,France,0.0,167451.0,Les Films Paul Grimault,83.0,March,1,True,2,1495,2136,1598,1153,14,3,Winter,Short,Unkown,167451.0,1,1,5,1,0
"Oh, God! Book II",PG,Comedy,1980,"October 3, 1980 (United States)",5.2,2100.0,Gilbert Cates,Josh Greenfeld,George Burns,United States,0.0,14504277.0,Warner Bros.,94.0,October,1,True,4,2318,981,2304,882,55,10,Winter,Medium,PG,14504277.0,1,5,5,1,1
"Those Lips, Those Eyes",R,Comedy,1980,"August 15, 1980 (United States)",6.5,269.0,Michael Pressman,David Shaber,Frank Langella,United States,0.0,804713.0,Herb Jaffe,105.0,August,1,True,4,1259,1931,1030,837,55,8,Winter,Medium,R,804713.0,5,0,5,1,1
La Cage aux Folles II,R,Comedy,1980,"February 15, 1981 (United States)",5.8,1900.0,Édouard Molinaro,Jean Poiret,Michel Serrault,France,0.0,6950125.0,Da.Ma. Cinematografica,102.0,February,1,True,4,799,2944,1890,1893,14,2,Winter,Medium,R,6950125.0,1,1,5,1,5
The Gong Show Movie,R,Comedy,1980,"May 23, 1980 (United States)",4.3,740.0,Chuck Barris,Chuck Barris,Chuck Barris,United States,0.0,6621520.0,Chuck Barris Productions,89.0,May,1,True,4,656,485,752,469,55,5,Winter,Short,R,6621520.0,1,1,5,1,1
Gilda Live,R,Comedy,1980,"March 28, 1980 (United States)",6.8,599.0,Mike Nichols,Anne Beatts,Gilda Radner,United States,0.0,2261507.0,Broadway Productions,96.0,March,1,True,4,486,1978,262,900,55,3,Winter,Medium,R,2261507.0,5,1,5,1,1
Why Would I Lie?,PG,Comedy,1980,"August 8, 1980 (United States)",6.5,211.0,Larry Peerce,Hollis Hodges,Treat Williams,United States,0.0,1175855.0,Metro-Goldwyn-Mayer (MGM),105.0,August,1,True,4,1635,1656,1655,2678,55,8,Winter,Medium,PG,1175855.0,1,5,5,0,1
First Family,R,Comedy,1980,"December 25, 1980 (United States)",4.3,593.0,Buck Henry,Buck Henry,Bob Newhart,United States,0.0,15198912.0,F.F. Associates,97.0,December,1,True,4,994,354,569,281,55,12,Winter,Medium,R,15198912.0,1,1,5,1,1
Mantis Fist Fighter,Unknown,Action,1980,"July 9, 1982 (United States)",6.7,230.0,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,Hong Kong,0.0,0.0,East Asia Film Company,89.0,July,1,True,0,905,2906,1672,1411,17,7,Winter,Short,Unkown,0.0,0,0,5,0,0
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,"June 12, 1981 (United States)",8.4,905000.0,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,18000000.0,389925971.0,Paramount Pictures,115.0,June,1,True,0,1810,2659,2550,959,55,6,Winter,Medium,PG,371925971.0,5,5,5,5,5
Body Heat,R,Crime,1981,"August 28, 1981 (United States)",7.4,32000.0,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,0.0,24058838.0,The Ladd Company,113.0,August,1,True,5,2185,1667,2550,2765,55,8,Winter,Medium,R,24058838.0,5,5,5,5,5
An American Werewolf in London,R,Comedy,1981,"August 21, 1981 (United States)",7.5,97000.0,John Landis,John Landis,David Naughton,United Kingdom,10000000.0,30669378.0,Polygram Pictures,97.0,August,1,True,4,1871,1412,2157,602,54,8,Winter,Medium,R,20669378.0,5,1,5,1,1
